date,home,away,home_score,away_score,ht_home,ht_away,shots_home,shots_away,sot_home,sot_away,fouls_home,fouls_away,corners_home,corners_away,yellow_home,yellow_away,red_home,red_away,possession_home,possession_away,pass_acc_home,pass_acc_away,tackles_home,tackles_away,saves_home,saves_away
2026-03-19,Flamengo,Remo,3,0,1,0,6,7,3,1,13,11,7,2,2,2,0,0,64,36,91,85,13,16,2,4
2026-03-19,Chapecoense,Corinthians,0,0,0,0,9,7,4,3,15,10,6,5,3,4,0,0,40,60,79,86,9,8,8,8
2026-03-19,Santos,Internacional,1,2,0,0,11,17,2,6,6,12,3,8,4,3,0,0,61,39,,,,,,
2026-03-19,Vasco,Fluminense,3,2,0,1,16,14,6,5,9,10,5,5,2,0,0,0,52,48,,,,,,
2026-03-19,Gremio,Vitoria,2,0,0,1,14,8,4,0,15,17,4,5,1,3,0,0,43,57,,,,,,
2026-03-19,Flamengo RJ,Remo,3,0,1,0,11,7,3,1,14,11,7,2,2,2,0,0,65,35,,,,,,
2026-03-20,Chapecoense-SC,Corinthians,0,0,0,0,14,13,4,4,18,11,6,4,3,4,0,0,36,64,,,,,,
2026-03-21,Bragantino,Botafogo,1,2,1,1,13,5,6,2,11,8,11,6,2,3,0,0,56,44,83,76,15,19,0,4
2026-03-21,Fluminense,Atlético-MG,1,0,1,0,12,10,5,5,18,13,3,2,5,5,0,0,54,46,87,81,15,8,4,6
2026-03-21,São Paulo,Palmeiras,0,1,0,1,3,5,1,2,13,21,10,1,3,5,0,0,61,39,85,83,27,14,2,2
2026-03-21,Bragantino,Botafogo RJ,1,2,1,1,18,8,6,3,12,9,11,6,2,3,0,0,59,41,,,,,,
2026-03-21,Fluminense,Atletico-MG,1,0,1,0,14,14,4,5,18,15,3,2,5,5,0,0,56,44,,,,,,
2026-03-22,Vasco,Grêmio,2,1,2,1,7,5,4,2,6,3,0,0,2,1,0,0,46,54,83,83,10,9,1,1
2026-03-22,Cruzeiro,Santos,0,0,0,0,5,2,3,0,16,12,4,0,2,3,0,0,55,45,83,78,9,13,1,2
2026-03-22,Athletico-PR,Coritiba,2,0,1,0,5,2,4,1,7,7,6,3,0,2,0,1,50,50,82,82,8,8,0,3
2026-03-22,Remo,Bahia,4,1,1,1,11,7,9,3,12,7,5,5,2,1,0,0,39,61,76,87,12,11,4,7
2026-03-22,Internacional,Chapecoense,2,0,1,0,11,7,6,0,15,6,4,4,1,3,0,0,48,52,79,83,17,10,2,6
2026-03-22,Vitória,Mirassol,1,0,1,0,7,8,4,2,18,8,4,4,3,3,0,0,36,64,70,82,14,17,6,6
2026-03-22,Corinthians,Flamengo,1,1,1,1,4,7,2,1,18,11,6,2,2,3,0,1,53,47,85,85,18,14,2,5
2026-03-22,Sao Paulo,Palmeiras,0,1,0,1,3,6,0,2,13,21,10,1,3,6,0,1,63,37,,,,,,
2026-03-22,Vasco,Gremio,2,1,2,1,10,9,5,3,11,4,0,2,3,1,0,0,37,63,,,,,,
2026-03-22,Internacional,Chapecoense-SC,2,0,1,0,14,10,7,0,16,9,4,4,2,2,0,1,48,52,,,,,,
2026-03-22,Vitoria,Mirassol,1,0,1,0,13,14,6,3,18,8,4,5,3,3,0,0,40,60,,,,,,
2026-03-22,Corinthians,Flamengo RJ,1,1,1,1,13,10,2,2,21,13,6,2,2,3,0,1,54,46,,,,,,
2026-03-29,Athletico-PR,Botafogo,4,1,2,1,9,9,8,3,15,13,1,8,2,3,0,0,45,55,85,83,12,10,5,5
2026-03-29,Athletico-PR,Botafogo RJ,4,1,2,1,11,12,8,3,15,13,1,8,2,3,0,0,46,54,,,,,,
2026-04-01,Botafogo,Mirassol,3,2,2,1,8,10,5,3,13,13,2,8,3,0,0,0,41,59,77,89,11,19,5,2
2026-04-01,Internacional,São Paulo,1,1,1,0,6,8,4,3,16,13,2,11,2,1,0,0,39,61,77,86,15,14,6,2
2026-04-01,Cruzeiro,Vitória,3,0,3,0,8,0,5,0,13,11,5,3,1,3,0,0,64,36,89,81,10,9,1,3
2026-04-01,Bahia,Athletico-PR,3,0,2,0,6,7,5,4,15,17,3,1,2,2,0,0,49,51,85,86,16,10,7,0
2026-04-01,Coritiba,Vasco,1,1,0,1,11,8,4,3,11,11,3,4,2,1,0,0,61,39,89,80,10,14,6,10
2026-04-01,Fluminense,Corinthians,3,1,2,0,17,9,9,4,10,12,8,9,1,4,1,1,60,40,87,80,6,10,4,5
